cui	drugbank_id
UMLS:C0065295	DB00447
UMLS:C1881444	DB00447
UMLS:C0050940	DB00448
UMLS:C0286036	DB00448
UMLS:C0740025	DB00448
UMLS:C1310658	DB00448
UMLS:C1310661	DB00448
UMLS:C1310662	DB00448
UMLS:C4082278	DB00448
UMLS:C4256049	DB00448
UMLS:C4256050	DB00448
UMLS:C4256051	DB00448
UMLS:C4256052	DB00448
UMLS:C0058415	DB00449
UMLS:C0013136	DB00450
UMLS:C0040165	DB00451
UMLS:C0016673	DB00452
UMLS:C0055923	DB00453
UMLS:C0025376	DB00454
UMLS:C4256045	DB00454
UMLS:C4256046	DB00454
UMLS:C4256047	DB00454
UMLS:C4256048	DB00454
UMLS:C0065180	DB00455
UMLS:C0701055	DB00455
UMLS:C0007735	DB00456
UMLS:C0032912	DB00457
UMLS:C0020934	DB00458
UMLS:C0701353	DB00458
UMLS:C4082435	DB00458
UMLS:C4256043	DB00458
UMLS:C4256044	DB00458
UMLS:C0050559	DB00459
UMLS:C0678135	DB00459
UMLS:C4082602	DB00459
UMLS:C0387288	DB00460
UMLS:C0068334	DB00461
UMLS:C0701331	DB00461
UMLS:C0141756	DB00462
UMLS:C0722436	DB00462
UMLS:C0025629	DB00463
UMLS:C0037556	DB00464
UMLS:C0073631	DB00465
UMLS:C0014310	DB00467
UMLS:C0034417	DB00468
UMLS:C0076096	DB00469
UMLS:C0039663	DB00470
UMLS:C0298130	DB00471
UMLS:C0016365	DB00472
UMLS:C0162373	DB00472
UMLS:C0062686	DB00473
UMLS:C0025668	DB00474
UMLS:C0008188	DB00475
UMLS:C0592217	DB00475
UMLS:C0721352	DB00475
UMLS:C4255169	DB00475
UMLS:C4256039	DB00475
UMLS:C4256040	DB00475
UMLS:C4256041	DB00475
UMLS:C4256042	DB00475
UMLS:C0245561	DB00476
UMLS:C4256038	DB00476
UMLS:C0008286	DB00477
UMLS:C0600062	DB00477
UMLS:C0699065	DB00477
UMLS:C0733655	DB00477
UMLS:C1141638	DB00477
UMLS:C0035629	DB00478
UMLS:C0002499	DB00479
UMLS:C4256035	DB00479
UMLS:C4256036	DB00479
UMLS:C4256037	DB00479
UMLS:C1134588	DB00480
UMLS:C1135145	DB00480
UMLS:C1144149	DB00480
UMLS:C0244404	DB00481
UMLS:C0538927	DB00482
UMLS:C0719198	DB00482
UMLS:C0016972	DB00483
UMLS:C0591515	DB00483
UMLS:C0525227	DB00484
UMLS:C0012093	DB00485
UMLS:C0068333	DB00486
UMLS:C1263104	DB00486
UMLS:C0030771	DB00487
UMLS:C4256034	DB00487
UMLS:C0019453	DB00488
UMLS:C0594753	DB00488
UMLS:C1448359	DB00488
UMLS:C0037707	DB00489
UMLS:C0591170	DB00489
UMLS:C0006462	DB00490
UMLS:C0066535	DB00491
UMLS:C0720692	DB00491
UMLS:C0118168	DB00492
UMLS:C0007554	DB00493
UMLS:C0165921	DB00494
UMLS:C0733103	DB00494
UMLS:C0876730	DB00494
UMLS:C0043474	DB00495
UMLS:C0529351	DB00496
UMLS:C0030049	DB00497
UMLS:C0031406	DB00498
UMLS:C0016384	DB00499
UMLS:C0591412	DB00499
UMLS:C0040377	DB00500
UMLS:C0008783	DB00501
UMLS:C4256031	DB00501
UMLS:C4256032	DB00501
UMLS:C4256033	DB00501
UMLS:C0018546	DB00502
UMLS:C0292818	DB00503
UMLS:C0678152	DB00503
UMLS:C0023554	DB00504
UMLS:C0024008	DB00504
UMLS:C0077081	DB00505
UMLS:C0068788	DB00507
UMLS:C1170029	DB00507
UMLS:C4256028	DB00507
UMLS:C4256029	DB00507
UMLS:C4256030	DB00507
UMLS:C0040989	DB00508
UMLS:C0011824	DB00509
UMLS:C0002238	DB00511
UMLS:C0050518	DB00511
UMLS:C0520442	DB00511
UMLS:C0042313	DB00512
UMLS:C0699052	DB00512
UMLS:C0000608	DB00513
UMLS:C0702045	DB00513
UMLS:C1448404	DB00513
UMLS:C4256027	DB00513
UMLS:C0011816	DB00514
UMLS:C0008838	DB00515
UMLS:C0722652	DB00515
UMLS:C0525133	DB00516
UMLS:C0051923	DB00517
UMLS:C0001911	DB00518
UMLS:C4082528	DB00518
UMLS:C4082752	DB00518
UMLS:C0076891	DB00519
UMLS:C0721596	DB00519
UMLS:C0537894	DB00520
UMLS:C0007299	DB00521
UMLS:C0053122	DB00522
UMLS:C0281666	DB00523
UMLS:C0722482	DB00523
UMLS:C1510845	DB00523
UMLS:C0025854	DB00524
UMLS:C0701383	DB00524
UMLS:C0040379	DB00525
UMLS:C0723757	DB00525
